Affaire - Organisation,Affaire - ID,Affaire - Propriétaire,Affaire - Titre,Personne - 🚨 Source du lead (Obligatoire),Affaire - Affaire créée,Affaire - Valeur,Affaire - Heure de l'échec,Affaire - Date de conclusion,Affaire - Raison de la perte,Affaire - Statut,Affaire - 💼 Client ?,Organisation - ID,Organisation - Propriétaire,Organisation - Étiquette,Affaire - Fin de contrat
Tnp Consultants,2319,Jordan Camelo,Affaire Tnp Consultants,Réseau Perso,2022-12-12 08:57:06,70000,0,2023-01-17 16:47:28,0,Gagnée,💜 Client,48019,Pagna,Client,0
Torann France,2252,Ahmed NAFAI,Affaire Torann France,Market (Call SDR),2022-10-19 16:28:28,10000,2022-12-28 15:22:11,0,Plus de réponse du prospect,Perdue,❌ Deal perdu,120943,Alisée Delon,SDR,0
Transvalor,2238,Ahmed NAFAI,Affaire Transvalor,Market (Formulaire),2022-10-07 12:02:39,20000,2022-12-12 10:12:31,0,Concurrent retenu (préciser lequel),Perdue,❌ Deal perdu,135572,Ahmed NAFAI,Sales,0
Trustinsoft,2235,Ahmed NAFAI,Affaire Trustinsoft,Market (Call SDR),2022-10-05 11:48:18,3500,2022-11-28 10:29:26,0,Concurrent retenu (préciser lequel),Perdue,❌ Deal perdu,128495,Thibault,NURTURING,0
UFE,2173,Julien Ribeiro,Affaire UFE,Market (Formulaire),2022-07-13 09:33:23,3000,2022-11-02 11:10:00,0,Choix de rester avec fournisseur actuel,Perdue,❌ Deal perdu,134620,Thibault,Offre en cours,0
Umiami,2302,Ahmed NAFAI,Affaire Umiami,Market (Formulaire),2022-11-24 12:09:45,5000,0,2022-12-21 12:14:06,0,Gagnée,💜 Client,137718,Pagna,Client,0
Upm Umwelt-Projekt-Management,2377,Thibault,Affaire Upm Umwelt-Projekt-Management,Market (Formulaire),2023-02-09 20:49:50,5000,0,2023-03-06 15:03:02,0,Gagnée,💜 Client,139561,Thibault,Client,0
Urbanis Solutions Renovation,2481,Julien Ribeiro,Affaire Urbanis Solutions Renovation,Market (Formulaire),2023-05-05 14:38:49,4000,0,0,0,En cours,0,140754,Julien Ribeiro,Sales,0
VMI,2094,Jordan Camelo,Affaire VMI,Chasse (Sales),2022-03-10 14:10:51,35000,2022-05-18 15:12:23,0,Concurrent retenu (préciser lequel),Perdue,❌ Deal perdu,88560,Jordan Camelo,Sales,0
Valneva,2202,Jordan Camelo,Affaire Valneva,Market (Email),2022-09-13 17:34:57,25000,2022-09-29 17:16:13,0,Fonctionnalité manquante (préciser),Perdue,❌ Deal perdu,127864,Jordan Camelo,NURTURING,0
Valorem,2305,Jordan Camelo,Affaire Valorem,Prospection externe,2022-11-28 10:08:37,42000,0,0,0,En cours,🟡 En cours,132090,Jordan Camelo,Sales,0
Viessmann Industrie France,2144,Jordan Camelo,Affaire Viessmann Industrie France,Prospection externe,2022-05-20 10:51:16,30000,2022-07-01 16:23:17,0,Prix,Perdue,❌ Deal perdu,129247,Jordan Camelo,Sales,0
Vétoquinol,2107,Jordan Camelo,Affaire Vétoquinol,Chasse (Sales),2022-03-23 15:46:34,35000,2022-10-03 11:08:21,0,INTERNATIONAL,Perdue,❌ Deal perdu,88830,Jordan Camelo,Sales,0
WMP,2262,Ahmed NAFAI,Affaire WMP,Market (Formulaire),2022-10-25 11:14:32,25000,2023-01-11 11:05:14,0,Choix de rester avec fournisseur actuel,Perdue,❌ Deal perdu,135652,Ahmed NAFAI,Sales,0
Wandercraft,2156,Jordan Camelo,Affaire Wandercraft,Market (Formulaire),2022-06-09 17:23:26,10000,2023-01-06 08:07:53,0,Plus de réponse du prospect,Perdue,❌ Deal perdu,132189,Jordan Camelo,Sales,0
Watura,2340,Julien Ribeiro,Affaire Watura,0,2023-01-13 15:52:02,625,0,2023-01-19 15:03:02,0,Gagnée,💜 Client,138605,Julien Ribeiro,Client,0
Wedoogift,2147,Jordan Camelo,Affaire Wedoogift,Market (Formulaire),2022-05-25 17:23:45,15000,2022-06-29 17:14:35,0,Prix,Perdue,❌ Deal perdu,133807,Jordan Camelo,Sales,0
Weishardt,2371,Jordan Camelo,Affaire Weishardt,Chasse (Sales),2023-02-03 11:42:38,33000,0,0,0,En cours,🟡 En cours,31789,Jordan Camelo,Sales,0
Willing,2449,Thibault,Affaire Willing,Market (Formulaire),2023-04-05 15:45:04,25000,0,0,0,En cours,0,140034,Thibault,Sales,0
Windvision France,2191,Jordan Camelo,Affaire Windvision France,Market (Formulaire),2022-09-01 11:12:00,21000,0,2022-10-07 09:06:35,0,Gagnée,💜 Client,135047,Pagna,Client,0
Winncare,2322,Ahmed NAFAI,Affaire Winninvest,Market (Formulaire),2022-12-15 13:27:23,20000,0,2022-12-26 10:33:57,0,Gagnée,💜 Client,138350,Maud,Client,0
Wiremind,2294,Julien Ribeiro,Affaire Wiremind,Prospection externe,2022-11-16 12:17:01,5000,2022-11-28 15:08:17,0,Pas assez de volume de déplacement pour eux,Perdue,❌ Deal perdu,130640,Alisée Delon,SDR,0
Yanmar Compact Equipment,2208,Ahmed NAFAI,Affaire Yanmar Compact Equipment,Market (Chasse SDR ),2022-09-16 17:23:40,40000,0,2022-11-04 10:56:03,0,Gagnée,💜 Client,132633,Pagna,Client,0
Yeswehack,2385,Ahmed NAFAI,Affaire Yeswehack,Market (Formulaire),2023-02-15 17:05:48,10000,2023-03-06 17:03:41,0,Concurrent retenu (préciser lequel),Perdue,❌ Deal perdu,128524,Ahmed NAFAI,Sales,0
Youxta,2391,Julien Ribeiro,Affaire Youxta,Market (Formulaire),2023-02-20 14:09:00,1500,2023-03-13 11:41:25,0,Besoin insuffisant,Perdue,❌ Deal perdu,132378,Julien Ribeiro,Offre en cours,0
Z Production,2160,Jordan Camelo,Affaire Z Production,Market (Formulaire),2022-06-17 09:36:06,5000,2022-08-19 09:42:08,0,Plus de réponse du prospect,Perdue,❌ Deal perdu,133836,Julien Ribeiro,Offre en cours,0
