Affaire - Organisation,Affaire - ID,Affaire - Propriétaire,Affaire - Titre,Personne - 🚨 Source du lead (Obligatoire),Affaire - Affaire créée,Affaire - Valeur,Affaire - Heure de l'échec,Affaire - Date de conclusion,Affaire - Raison de la perte,Affaire - Statut,Affaire - 💼 Client ?,Organisation - ID,Organisation - Propriétaire,Organisation - Étiquette,Affaire - Fin de contrat
Consoneo,2318,Julien Ribeiro,Affaire Consoneo,0,2022-12-09 11:02:11,5000,2022-12-16 16:29:37,0,Prix,Perdue,❌ Deal perdu,138340,Julien Ribeiro,Sales,0
Corin Group,2427,Thibault,Affaire Corin Group,Market (Email),2023-03-21 15:54:58,12000,0,0,0,En cours,🟡 En cours,138863,Thibault,0,0
Courtois,2480,Julien Ribeiro,Affaire Courtois,Market (Formulaire),2023-05-05 14:33:19,5000,0,0,0,En cours,0,140749,Julien Ribeiro,Sales,0
Covaltex,2415,Ahmed NAFAI,Affaire Covaltex,Market (Formulaire),2023-03-16 12:17:33,5000,2023-03-30 14:40:35,0,Projet reporté,Perdue,❌ Deal perdu,139619,Ahmed NAFAI,Deal perdu,0
Crescendo Restauration,2079,Jordan Camelo,Affaire Crescendo Restauration,Market (Formulaire),2022-02-18 10:31:19,70000,0,2022-10-05 12:36:34,0,Gagnée,💜 Client,131347,Pagna,Client,0
Crossject,2227,Ahmed NAFAI,Affaire Crossject,Market (Formulaire),2022-09-29 11:58:45,5000,2022-12-15 10:37:06,0,Plus de réponse du prospect,Perdue,❌ Deal perdu,108182,Julien Ribeiro,Sales,0
Cticm,2485,Ahmed NAFAI,Affaire Cticm,Market (Formulaire),2023-05-15 12:33:08,5000,0,0,0,En cours,0,140481,Ahmed NAFAI,Sales,0
Ctp Environnement Group,2187,Jordan Camelo,Affaire Ctp Environnement Group,Market (Call SDR),2022-08-23 11:48:00,15000,0,0,0,En cours,🟡 En cours,129178,Jordan Camelo,Sales,0
Daf Trucks France,2175,Jordan Camelo,Affaire Daf Trucks France,Market (Publi),2022-07-19 16:57:17,27000,0,2022-10-28 16:22:28,0,Gagnée,💜 Client,133446,Maud,Client,0
Dahlir,2435,Julien Ribeiro,Affaire Dahlir,Market (Formulaire),2023-03-28 11:47:04,1000,0,0,0,En cours,0,139782,Julien Ribeiro,Sales,0
Deal4event,2346,Thibault,Affaire Deal4event,Market (Formulaire),2023-01-17 15:00:56,30000,2023-05-04 09:59:53,0,Projet reporté,Perdue,🟡 En cours,132354,Thibault,Sales,0
Detektin,2271,Ahmed NAFAI,Affaire Detektin,Market (Formulaire),2022-11-03 10:43:24,5000,0,2022-11-03 10:50:42,0,Gagnée,💜 Client,136081,Maud,Client,0
Driveco,2117,Jordan Camelo,Affaire Driveco,Market (Formulaire),2022-04-12 15:14:33,12500,0,2022-04-25 16:03:51,0,Gagnée,💜 Client,132896,Maud,Client,0
E-Cobot,2139,Jordan Camelo,Affaire E-Cobot,0,2022-05-16 16:19:35,5000,2022-10-19 14:09:38,0,Plus de réponse du prospect,Perdue,❌ Deal perdu,131391,Julien Ribeiro,STOP,0
Ecologic,2179,Jordan Camelo,Affaire Ecologic,Market (Formulaire),2022-07-28 16:20:25,10000,0,2022-09-26 15:19:04,0,Gagnée,💜 Client,134590,Maud,Client,0
Ecoor,2081,Jordan Camelo,Affaire Ecoor,Market (Formulaire),2022-02-22 10:05:36,10000,0,2022-03-24 16:39:32,0,Gagnée,💜 Client,131436,Pagna,Client,0
Elvia Printed Circuit Boards,2219,Jordan Camelo,Affaire Elvia Printed Circuit Boards,Market (Call SDR),2022-09-26 13:48:51,6500,2022-12-15 11:42:12,0,Prix,Perdue,❌ Deal perdu,134501,Jordan Camelo,Sales,0
Elée,2278,Jordan Camelo,Affaire Elée,Market (Formulaire),2022-11-07 14:37:20,4000,0,2022-11-15 13:56:35,0,Gagnée,💜 Client,133846,Maud,Client,0
Emaby,2351,Thibault,Affaire Emaby,Chasse (Sales),2023-01-24 15:16:07,5000,2023-02-27 10:01:22,0,Plus de réponse du prospect,Perdue,❌ Deal perdu,138807,Thibault,Sales,0
Emovis,2479,Ahmed NAFAI,Affaire Emovis,Market (Email),2023-05-04 16:07:59,50000,0,0,0,En cours,0,126189,Ahmed NAFAI,Sales,0
Energie Transfert Thermique Ett,2299,Jordan Camelo,Prospect ETT,Prospection externe,2022-11-23 15:55:02,12500,2023-03-20 10:08:26,0,Prix,Perdue,❌ Deal perdu,136586,Ahmed NAFAI,Sales,0
Eodd Ingenieurs Conseils,2390,Ahmed NAFAI,Affaire Eodd Ingenieurs Conseils,Market (Formulaire),2023-02-20 11:52:41,5000,2023-03-13 15:44:50,0,Choix de rester avec fournisseur actuel,Perdue,❌ Deal perdu,139577,Julien Ribeiro,0,0
Epfna,2353,Ahmed NAFAI,Affaire Epfna,Market (Formulaire),2023-01-25 17:13:30,15000,2023-05-11 11:03:03,0,Business Model - Prix pack élevé,Perdue,🟡 En cours,138599,Ahmed NAFAI,Sales,0
